Category,Key,English,Swahili,File,Line
"amount","Amount","","components/wallet/WithdrawalStatusCard.tsx",111
"phone-number","Phone Number","","components/wallet/WithdrawalStatusCard.tsx",116
"transaction-id","Transaction ID","","components/wallet/WithdrawalStatusCard.tsx",121
"date","Date","","components/wallet/WithdrawalStatusCard.tsx",128
"status","Status","","components/wallet/WithdrawalStatusCard.tsx",138
"total-withdrawals","Total Withdrawals","","components/wallet/WithdrawalStatsCards.tsx",27
"successful","Successful","","components/wallet/WithdrawalStatsCards.tsx",38
"failed","Failed","","components/wallet/WithdrawalStatsCards.tsx",49
"in-progress","In Progress","","components/wallet/WithdrawalStatsCards.tsx",60
"back-to-wallet","Back to Wallet","","components/wallet/WithdrawalPageClient.tsx",42
"withdraw-funds","Withdraw Funds","","components/wallet/WithdrawalPageClient.tsx",49
"request-withdrawal-to-your-mtn-mobile-money-account","Request withdrawal to your MTN Mobile Money account","","components/wallet/WithdrawalPageClient.tsx",52
"available-balance","Available Balance","","components/wallet/WalletBalance.tsx",40
"last-updated","Last updated","","components/wallet/WalletBalance.tsx",51
"total-earned","Total Earned","","components/wallet/WalletBalance.tsx",71
"total-spent","Total Spent","","components/wallet/WalletBalance.tsx",82
"invalid-amount","Invalid amount","","components/wallet/UnifiedWithdrawalForm.tsx",96
"please-enter-a-valid-amount","Please enter a valid amount","","components/wallet/UnifiedWithdrawalForm.tsx",97
"amount-too-low","Amount too low","","components/wallet/UnifiedWithdrawalForm.tsx",106
"minimum-withdrawal-amount-is","Minimum withdrawal amount is","","components/wallet/UnifiedWithdrawalForm.tsx",107
"insufficient-balance","Insufficient balance","","components/wallet/UnifiedWithdrawalForm.tsx",116
"you-only-have","You only have","","components/wallet/UnifiedWithdrawalForm.tsx",117
"available","available","","components/wallet/UnifiedWithdrawalForm.tsx",117
"phone-number-required","Phone number required","","components/wallet/UnifiedWithdrawalForm.tsx",126
"please-enter-your-mobile-money-number","Please enter your mobile money number","","components/wallet/UnifiedWithdrawalForm.tsx",127
"invalid-phone-number","Invalid phone number","","components/wallet/UnifiedWithdrawalForm.tsx",136
"withdrawal-request-submitted","Withdrawal request submitted","","components/wallet/UnifiedWithdrawalForm.tsx",166
"failed-to-process-withdrawal","Failed to process withdrawal","","components/wallet/UnifiedWithdrawalForm.tsx",176
"withdrawal-failed","Withdrawal failed","","components/wallet/UnifiedWithdrawalForm.tsx",180
"please-try-again","Please try again","","components/wallet/UnifiedWithdrawalForm.tsx",181
"you-need-at-least","You need at least","","components/wallet/UnifiedWithdrawalForm.tsx",205
"to-withdraw","to withdraw.","","components/wallet/UnifiedWithdrawalForm.tsx",205
"current-balance","Current balance:","","components/wallet/UnifiedWithdrawalForm.tsx",207
"start-earning-by-completing-deliveries","💡 Start earning by completing deliveries!","","components/wallet/UnifiedWithdrawalForm.tsx",210
